Date,Max Winds(kt),Central Pressure(mb),Landfall Country,Storm Names,Year
2017-09-19,145.0,922.0,Dominica,Maria,2017
2017-09-20,135.0,920.0,Puerto Rico,Maria,2017
2019-08-28,65.0,995.0,Virgin Islands,Dorian,2019
2019-08-28,70.0,993.0,Virgin Islands,Dorian,2019
2019-09-01,160.0,910.0,Bahamas,Dorian,2019
2019-09-02,155.0,914.0,Bahamas,Dorian,2019
2020-07-31,70.0,990.0,Bahamas,Isaias,2020
2020-08-01,70.0,987.0,Bahamas,Isaias,2020
2020-09-03,65.0,994.0,Belize,Nana,2020
2020-09-14,85.0,970.0,Bermuda,Paulette,2020
2020-10-03,65.0,978.0,Mexico,Gamma,2020
2020-10-07,90.0,971.0,Mexico,Delta,2020
2020-10-27,75.0,977.0,Mexico,Zeta,2020
2020-11-03,120.0,940.0,Nicaragua,Eta,2020
2020-11-17,125.0,921.0,Nicaragua,Iota,2020
2021-08-19,75.0,978.0,Mexico,Grace,2021
2021-08-21,105.0,967.0,Mexico,Grace,2021
2021-08-27,70.0,987.0,Cuba,Ida,2021
2021-08-27,70.0,988.0,Cuba,Ida,2021
2022-09-18,75.0,986.0,Puerto Rico,Fiona,2022
2022-09-19,80.0,976.0,Dominican Republic,Fiona,2022
2022-09-20,100.0,962.0,Turks and Caicos,Fiona,2022
2022-09-27,110.0,947.0,Cuba,Ian,2022
2022-10-09,75.0,982.0,Nicaragua,Julia,2022
2022-11-09,65.0,980.0,Bahamas,Nicole,2022
