State,Annual Salary,Monthly Pay,Weeky Pay,Hourly Wage,Job Title
Oregon,125467,10455,2412,60.32,Data Scientist
Hawaii,123953,10329,2383,59.59,Data Scientist
Idaho,123923,10326,2383,59.58,Data Scientist
Wyoming,123698,10308,2378,59.47,Data Scientist
Minnesota,123044,10253,2366,59.16,Data Scientist
Indiana,122439,10203,2354,58.87,Data Scientist
Arizona,122400,10200,2353,58.85,Data Scientist
Alaska,121680,10140,2340,58.50,Data Scientist
New Hampshire,121396,10116,2334,58.36,Data Scientist
Pennsylvania,121315,10109,2332,58.32,Data Scientist
Georgia,120321,10026,2313,57.85,Data Scientist
Iowa,118653,9887,2281,57.04,Data Scientist
Rhode Island,118510,9875,2279,56.98,Data Scientist
South Dakota,118340,9861,2275,56.89,Data Scientist
North Dakota,118252,9854,2274,56.85,Data Scientist
Connecticut,117597,9799,2261,56.54,Data Scientist
Montana,117429,9785,2258,56.46,Data Scientist
New Mexico,114991,9582,2211,55.28,Data Scientist
Illinois,114459,9538,2201,55.03,Data Scientist
Ohio,114445,9537,2200,55.02,Data Scientist
Virginia,112528,9377,2164,54.10,Data Scientist
Maryland,112378,9364,2161,54.03,Data Scientist
Tennessee,112017,9334,2154,53.85,Data Scientist
Utah,111953,9329,2152,53.82,Data Scientist
Delaware,110729,9227,2129,53.24,Data Scientist
Colorado,110256,9188,2120,53.01,Data Scientist
Mississippi,109345,9112,2102,52.57,Data Scientist
Oklahoma,106910,8909,2055,51.40,Data Scientist
South Carolina,106427,8868,2046,51.17,Data Scientist
Michigan,105489,8790,2028,50.72,Data Scientist
Kansas,105118,8759,2021,50.54,Data Scientist
Texas,104965,8747,2018,50.46,Data Scientist
Missouri,104859,8738,2016,50.41,Data Scientist
West Virginia,104532,8711,2010,50.26,Data Scientist
Alabama,103437,8619,1989,49.73,Data Scientist
Florida,103328,8610,1987,49.68,Data Scientist
Louisiana,102592,8549,1972,49.32,Data Scientist
Nebraska,101966,8497,1960,49.02,Data Scientist
Kentucky,97824,8152,1881,47.03,Data Scientist
North Carolina,97172,8097,1868,46.72,Data Scientist
Arkansas,96232,8019,1850,46.27,Data Scientist
Washington,109132,9094,2098,52.47,Data Warehouse Analyst
